gagal	gagal
gagall	gagal
gak	tidak
gakk	tidak
gakkk	tidak
gamau	tidak mau
gatau	tidak tahu
gausah	tidak usah
gax	tidak
gimana	bagaimana
gini	begini
ginih	begini
gitu	begitu
gituu	begitu
gk	tidak
gkq	tidak
gmn	bagaimana
gmna	bagaimana
gn	begini
gni	begini
gokil	bagus
goks	bagus
gokss	bagus
gpp	tidak apa apa
gt	gitu
gtu	begitu
gtuh	begitu
gtw	tidak tahu
gua	saya
guaa	saya
gue	saya
guee	saya
guna	untuk
gw	saya
gx	tidak
hhh	tertawa
hihihi	tertawa
haha	tertawa
hahaha	tertawa
hahahaha	tertawa
hancurr	hancur
hehe	tertawa
hehehe	tertawa
heheheh	tertawa
hemat	hemat
hematt	hemat
hev	kendaraan hibrida
hi	hai
hihi	tertawa
hoaks	berita palsu
hoax	berita palsu
hr	hari
hutang	utang
hybrid	hibrida
ijin	izin
insentif	insentif
itoe	itu
ituh	itu
iy	iya
iya	iya
iyaa	iya
iyah	iya
iye	iya
jagan	jangan
jagn	jangan
jaman	zaman
jamn	zaman
jangn	jangan
jaraktempuh	jarak tempuh
jd	jadi
jeles	cemburu
jelek	buruk
jelek banget	sangat buruk
jelekk	buruk
jg	juga
jgann	jangan
jgn	jangan
jgnn	jangan
jir	anjing
jirr	anjing
jlek	buruk
jmn	zaman
jngn	jangan
jos	bagus
joss	bagus
kaga	tidak
kagak	tidak
kagk	tidak
kahh	kah
kalian2	kalian
kalo	kalau
kalok	kalau
kampret	kasar
kamprett	kampret
kan	kan
kann	kan
kapan2	kapan kapan
karna	karena
kawatir	khawatir
kayakny	sepertinya
kayanya	sepertinya
kebijakan	kebijakan
kece	bagus
kecewa	kecewa
kecewaa	kecewa
kecewaaa	kecewa
kek	kayak
keknya	sepertinya
kemaren	kemarin
kemarn	kemarin
kemenperin	kementerian perindustrian
kenapah	kenapa
kendaraan-listrik	kendaraan listrik
kendaraanlistrik	kendaraan listrik
keren	bagus
kerenn	bagus
kerennn	bagus
kerjaan	pekerjaan
kgk	tidak
khawatir	khawatir
kita2	kita
kl	kalau
klau	kalau
klo	kalau
klu	kalau
klw	kalau
kmaren	kemarin
kmarin	kemarin
kmrn	kemarin
knapa	kenapa
knp	kenapa
kokk	kok
komen	komentar
konten	konten
kpan	kapan
kpd	kepada
kpn	kapan
kredit	kredit
krena	karena
krg	kurang
krja	kerja
krn	karena
krl	kereta rel listrik
kt	kata
ktnya	katanya
kualitasnya	kualitas
kurang	kurang
kurg	kurang
kw	palsu
kwalitas	kualitas
kwkw	tertawa
kwkwkw	tertawa
kyanya	sepertinya
kyk	kayak
kyknya	sepertinya
lagii	lagi
lahh	lah
lbh	lebih
leasing	pembiayaan
lebih	lebih
lelet	lambat
lemot	lambat
lg	lagi
lgi	lagi
lgsg	langsung
lho	lah
loh	lah
like	suka
likes	suka
lmao	tertawa
lmyn	lumayan
lo	kamu
loe	kamu
lol	tertawa
lu	kamu
lumayan	cukup
luu	kamu
maaci	terima kasih
maen	main
maaf	maaf
maafkeun	maafkan
maap	maaf
mahal	mahal
mahal2	mahal mahal
mahalh	mahal
mahalnya	mahal
makasi	terima kasih
makasih	terima kasih
makasihh	terima kasih
makasii	terima kasih
mantab	mantap
mantabh	mantap
mantap	mantap
mantapp	mantap
mantappp	mantap
mantep	mantap
mantepp	mantap
mantul	mantap sekali
maren	kemarin
masalah	masalah
masi	masih
membedkn	membedakan
membdkn	membedakan
mesti	harus
mmbdkn	membedakan
mnjdi	menjadi
menjdi	menjadi
mnjadi	menjadi
mhn	mohon
mjd	jadi
mksh	terima kasih
mls	malas
mnrt	menurut
mobilistrik	mobil listrik
moblis	mobil listrik
molis	motor listrik
motlis	motor listrik
motorlis	motor listrik
mreka	mereka
mrk	mereka
msh	masih
msi	masih
msih	masih
murah	murah
murahh	murah
murmer	murah
napa	kenapa
neh	ini
ngab	abang
ngantri	mengantre
ngapain	sedang apa
ngebug	bermasalah
ngecas	mengisi daya
ngecharge	mengisi daya
ngepost	mengunggah
ngetweet	mencuit
ngga	tidak
nggaaa	tidak
nggaak	tidak
nggak	tidak
nggakkk	tidak
nggap	tidak
nggk	tidak
ngk	tidak
ni	ini
nih	ini
nihh	ini
nii	ini
njir	anjing
njirr	anjing
nnti	nanti
nntik	nanti
npa	kenapa
ntar	nanti
ntaran	nanti
ntr	nanti
ny	nya
nyaman	nyaman
nyamann	nyaman
nyesel	menyesal
nyesel banget	sangat menyesal
nyg	yang
nysl	menyesal
ok	oke
okay	oke
okeh	oke
org	orang
ori	asli
original	asli
otw	sedang dalam perjalanan
pajak	pajak
pake	pakai
palsu	palsu
panikga	panik tidak
parahh	parah
parahhh	parah
payah	buruk
pd	pada
pda	pada
pemda	pemerintah daerah
pemerintah	pemerintah
pempus	pemerintah pusat
pemrintah	pemerintah
permenperin	peraturan menteri perindustrian
perpres	peraturan presiden
pertalite	pertalite
phev	kendaraan hibrida plug in
pkk	pokoknya
please	tolong
plis	tolong
pliz	tolong
pln	perusahaan listrik negara
plz	tolong
pokokny	pokoknya
pol	sekali
posting	unggahan
postingan	unggahan
pr	pekerjaan rumah
praktek	praktik
produktifitas	produktivitas
program	program
promo	promosi
puas	puas
puass	puas
range	jarak tempuh
real	nyata
recom	rekomendasi
recommended	rekomendasi
regulasi	regulasi
rekom	rekomendasi
rekomen	rekomendasi
rekomended	rekomendasi
reshare	bagikan ulang
resiko	risiko
retweet	bagikan ulang
ribet	rumit
ribettt	rumit
rofl	tertawa
rt	bagikan ulang
rusak	rusak
rusakk	rusak
sampe	sampai
sangad	sangat
sangatt	sangat
sbg	sebagai
sbgi	sebagai
sbnrnya	sebenarnya
sdg	sedang
sdh	sudah
sdng	sedang
sdt	sedikit
sedih	sedih
sedihh	sedih
sekale	sekali
sekalee	sekali
sekedar	sekadar
selis	sepeda listrik
sepeda listrik	sepeda listrik
seringg	sering
sgt	sangat
share	bagikan
siap	setuju
sih	sih
sihh	sih
silahkan	silakan
sip	setuju
situ	kamu
skali	sekali
skarang	sekarang
skg	sekarang
skrang	sekarang
skrg	sekarang
skrng	sekarang
slalu	selalu
sll	selalu
sm	sama
sma	sama
smkn	semakin
smpe	sampai
sngt	sangat
soalnya	karena
solar	bahan bakar minyak
sori	maaf
sorry	maaf
sory	maaf
spbk	stasiun penukaran baterai kendaraan listrik umum
spklu	stasiun pengisian kendaraan listrik umum
sprti	seperti
spt	seperti
subsidi	subsidi
sulittt	sulit
super	sangat
susah	sulit
susahh	sulit
swap	tukar
sy	saya
tai	kasar
taii	tai
taik	tai
tak	tidak
takut	takut
takutt	takut
tapi	tetapi
tapii	tapi
tau	tahu
td	tadi
tdak	tidak
tdakk	tidak
tdi	tadi
tdii	tadi
tdk	tidak
tentng	tentang
terbaikk	terbaik
terimakasih	terima kasih
teruss	terus
teruz	terus
tgl	tanggal
tgs	tugas
thanks	terima kasih
thebest	terbaik
thn	tahun
thread	utas
thx	terima kasih
tidk	tidak
tmn	teman
top	bagus
tp	tapi
tpi	tapi
tpii	tapi
tq	terima kasih
trima	terima
trimakasih	terima kasih
trs	terus
trus	terus
tsb	tersebut
ttg	tentang
tu	itu
tuh	itu
tuhh	itu
tukarbatrai	tukar baterai
tw	tahu
tweet	cuitan
tweets	cuitan
tx	terima kasih
ty	terima kasih
ud	sudah
uda	sudah
udah	sudah
ude	sudah
udeh	sudah
udh	sudah
untu	untuk
utas	utas
utk	untuk
valid	valid
viral	viral
w	saya
wa	saya
wk	tertawa
wkt	waktu
wkw	tertawa
wkwk	tertawa
wkwkw	tertawa
wkwkwk	tertawa
wkwkwkw	tertawa
wkwkwkwk	tertawa
wkwwk	tertawa
worth	layak
worth it	layak
worthit	layak
xixixi	tertawa
yaa	ya
yah	ya
yap	ya
yg	yang
ygy	ya guys ya
yoi	ya
yups	ya
zero emission	nol emisi
zeroemission	nol emisi
zmn	zaman
zonk	mengecewakan
